smiles,pka_value,filtered,filter_version
C/C=N/NC(N)=O,1.1,True,1.0
C/N=C(/NC#N)NCCSCc1csc(NC(=N)N)n1,7.1,True,1.0
C/N=C(\C[N+](=O)[O-])N/N=C/[C@H]1CC[C@]2(O)[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2.37,True,1.0
C/N=C(\NC#N)Nc1cccc(-c2csc(N=C(N)N)n2)c1,6.2,True,1.0
C1(=CC=CC=C1)/C=C/C(=O)O,4.5,True,1.0
C1(=CC=CC=C1)C1([C@@H]([C@@H]1C(=O)O)C(=O)O)C1=CC=CC=C1,2.25,True,1.0
C1(=CC=CC=C1)[C@@]1([C@@H](C1)C(=O)O)C(=O)O,3.72,True,1.0
C1(=CC=CC=C1)[C@H]1[C@@H](C1)C(=O)O,4.57,True,1.0
C1(=CC=CC=C1)[C@]1([C@@H](C1)C(=O)O)C(=O)O,3.48,True,1.0
C1(=CC=CC=C1)\C=C/C(=O)O,3.93,True,1.0
C1=C(C2CCCCC2)NCC1,7.91,True,1.0
C1=C(CS/C(=N\C2CCCCC2)NC2CCCCC2)N2CCN=C2S1,7.7,True,1.0
C1=C(Cc2ccccc2)NCC1,7.06,True,1.0
C1=C(c2c[nH]c3ccccc23)CCN(Cc2ccccc2)C1,8.45,True,1.0
C1=C(c2c[nH]c3ccccc23)CCN(Cc2cccs2)C1,8.3,True,1.0
C1=CC=CC=2C3=CC=CC=C3C3(C12)[C@H]([C@H]3C(=O)O)C(=O)O,2.91,True,1.0
C1=CCC=C1,15.0,True,1.0
C1=CNC(c2ccccc2)N1,6.48,True,1.0
C1=CNC(c2ccncc2)N1,5.36,True,1.0
C1=CNCN1,6.99,True,1.0
C1=CSCC=N1,8.4,True,1.0
C1=Cc2ncccc2C1,5.7,True,1.0
C1=NCCCN1,13.0,True,1.0
C1=NNC2(C1)CCC2,4.2,True,1.0
C1=NNC2(C1)CCCC2,4.16,True,1.0
C1=NNC=NN1,2.25,True,1.0
C1=NNCC1,4.62,True,1.0
C1=Nc2[nH]nnc2CN1,5.6,True,1.0
C1=Nc2ccc3c4c(ccc(c24)N1)CC3,6.12,True,1.0
C1=Nc2cccc3cccc(c23)N1,6.35,True,1.0
C1=Nc2ccccc2CN1,9.17,True,1.0
